id,Lon,Lat,TS,EC,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b101,b102,b103,b104,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b163,b164
0,79.899092,37.278009,1.675,1.85,0,0,0,0.0,0.0,1.025288092,5.812900128,12.19334187,120.8986876,254.0981114,387.2229513,462.1024328,522.7120679,558.8778809,586.1283611,608.2884123,617.828105,627.6483675,642.9577465,661.7887324,680.0078425,692.8766005,705.1830986,727.3004161,749.3476312,794.9428617,866.6614917,937.7684059,971.6294814,975.7620038,981.7559219,1001.414693,1020.93662,1033.898047,1044.918534,1057.799456,1075.509283,1093.201024,1102.960787,1109.825544,1116.52993,1126.161972,1135.178137,1148.451344,1164.027529,1180.850512,1202.520166,1224.78265,1238.59315,1247.31114,1264.734955,1283.608195,1323.517606,1398.443822,1473.908771,1502.460787,1518.559059,1537.84219,1574.550576,1611.473431,1644.791293,1653.376921,1662.8113,1684.50016,1706.640365,1729.615717,1754.03137,1777.536172,1807.43726,1840.761044,1868.68758,1878.743598,1888.441421,1915.971031,1942.797695,1965.644046,1976.097631,1987.7508,2000.068982,2011.528489,2026.045455,2058.268566,2090.079225,2126.226472,2163.849392,2201.394846,2236.568502,2269.413572,2265.045775,2259.826504,2256.704225,2313.703425,2370.40541,2403.700064,2401.010563,2406.772087,2418.944142,2430.443662,2436.319302,2438.643086,2462.197823,2493.426216,2519.899008,2518.678617,2518.570583,2522.051697,2528.205026,2507.546575,2483.949424,2467.004481,2509.184379,2550.548175,2592.50112,2629.268406,2663.153329,2693.627721,2722.952945,2752.074424,2782.825864,2810.367958,2844.277369,2885.445903,2926.415973,2954.706306,2961.365717,2973.515365,2989.456786,3005.878841,3048.982554,3112.81274,3139.728393,3138.013604,3134.93598,3127.058739,3113.735275,3060.588988,3006.440461,3000.995198,3058.106434,3118.273688,3155.798335,3187.819782,3179.160851,3168.24936,3154.319942,3040.600032,2908.847951,2827.337068,2818.288412,2808.052337,2784.332266,2699.216869,2671.366837,2664.620198,2669.942061,2688.487836,2707.039373,2723.932939,2728.129641,2732.888764,2636.339309,2498.517446,2379.989117,2381.310819
2,79.899496,37.277933,1.65,1.713,0,0,0,0.0,0.0,0.102432778,2.117797695,5.8881242,85.14820743,202.8998079,320.9127721,398.9002881,452.4913572,488.8085787,511.3516325,533.8737196,549.9361396,568.0921895,584.1610115,595.3161012,608.3754802,618.743758,628.9767926,643.7048656,659.3799616,689.7143086,755.471991,820.3433099,864.5040013,874.4580666,884.3095391,902.7223111,920.634443,935.4958387,947.8111396,960.9894366,969.0398528,975.0648207,982.7661652,989.6013124,998.337388,1016.325224,1034.723271,1048.827305,1056.602913,1064.419814,1074.140365,1083.355474,1098.942702,1119.853553,1136.330346,1149.238796,1169.31338,1235.652849,1299.995359,1347.96991,1383.100672,1418.173976,1434.919334,1450.246639,1464.629001,1494.806178,1528.136684,1550.071223,1569.709827,1590.871799,1618.28121,1645.694462,1673.81274,1701.861556,1730.12516,1761.231434,1792.134283,1812.475832,1829.229994,1846.78233,1864.628201,1882.332266,1900.840269,1920.141005,1940.264405,1971.552497,2003.297535,2036.357875,2068.918054,2101.110115,2127.529449,2153.788572,2175.460948,2194.853233,2216.310179,2240.828265,2265.800416,2289.946223,2305.143406,2321.133003,2338.333707,2355.152209,2373.955346,2392.514885,2412.698303,2435.004321,2457.84267,2468.384923,2475.109475,2480.40685,2484.586748,2480.458387,2469.071703,2460.111876,2490.616997,2536.109475,2580.615717,2622.956946,2663.455826,2703.685179,2741.587388,2779.149648,2806.867638,2825.116677,2845.43614,2885.152209,2924.90749,2964.334027,2951.310819,2940.003841,2975.915813,3011.987996,3053.708547,3113.545615,3163.354033,3168.759763,3173.916293,3197.245198,3218.461268,3196.886524,3152.637164,3115.763924,3156.984795,3195.576665,3238.321383,3284.028809,3293.901569,3267.208227,3237.829385,3194.004962,3132.950224,3073.715109,3072.204545,3069.331306,3064.449104,3031.84299,3007.620038,3041.131562,3074.361716,3073.830826,3068.007843,3060.238956,3047.574904,3027.960627,2993.239757,2906.700224,2825.555378,2793.201344
3,79.899901,37.277841,2.125,0.324,0,0,0,0.0,0.0,2.254321383,17.14900768,35.1387644,147.0997119,292.109475,435.9740717,525.3514725,590.6693342,626.6165173,646.9795134,664.9316581,679.4113316,694.5352113,709.8180218,726.4198143,743.9460627,774.3228233,806.2664853,821.2485595,833.3961268,873.1038732,957.8455506,1042.314501,1093.840749,1102.901729,1112.216229,1122.050736,1131.713348,1144.002881,1157.340109,1171.011684,1187.507362,1204.264725,1225.283611,1248.550576,1269.46735,1286.06146,1303.942061,1318.004321,1330.231594,1345.089469,1374.653009,1404.884443,1416.161812,1415.294014,1431.200064,1454.850672,1490.354033,1550.346031,1607.666933,1653.128361,1691.382202,1730.68806,1758.074104,1785.654449,1813.307458,1830.519526,1846.06258,1879.600832,1915.464629,1947.335147,1967.102113,1987.044814,2000.901889,2010.205506,2021.56226,2041.041773,2060.932458,2078.651088,2095.008643,2112.884603,2144.742798,2177.341709,2190.698944,2195.691581,2201.773848,2225.908451,2250.928617,2282.394366,2318.543054,2349.306658,2342.800896,2336.049936,2358.432939,2385.15669,2411.483515,2437.079385,2461.002881,2489.398047,2539.238636,2570.236716,2573.37564,2575.96959,2575.960147,2574.535051,2578.037452,2587.684699,2597.691421,2610.364117,2621.450224,2622.930218,2607.014085,2591.272407,2575.545455,2567.070423,2593.324264,2625.370839,2658.112836,2688.877561,2717.928617,2749.341229,2788.191261,2825.959347,2860.504161,2893.421095,2923.918534,2950.721031,2977.537932,3000.205506,2995.896767,2994.899968,3009.832746,3026.524808,3046.721991,3069.159091,3093.067542,3128.285531,3162.828105,3172.632682,3175.075864,3129.755922,3077.060659,3048.838988,3072.164373,3093.785691,3077.940621,3047.261364,3052.972471,3075.047535,3088.584507,3005.549776,2860.558259,2736.783451,2706.987996,2676.984795,2647.894366,2614.326344,2609.481114,2624.668534,2638.201665,2618.319942,2597.430698,2570.192862,2549.771287,2528.983515,2486.308579,2399.996799,2321.099712,2298.088188
4,79.900168,37.277689,9.0,2.19,0,0,0,0.0,0.0,14.58514725,81.38108195,152.449904,302.8929257,482.7075864,659.1193982,741.5020807,785.4046095,813.7837708,836.2544814,856.3207426,870.8039373,885.8954866,902.3293854,920.2887324,938.7980154,964.0777849,990.2760883,1016.756402,1045.606594,1097.893886,1190.689341,1282.926857,1333.153009,1335.215429,1336.435019,1339.773848,1342.527849,1354.532971,1367.480154,1380.980474,1405.059059,1428.164213,1450.877561,1473.222151,1492.647407,1499.942061,1506.167734,1519.241997,1538.234475,1554.825064,1560.362516,1566.392286,1589.238476,1626.454065,1642.602273,1645.354193,1665.208867,1736.102753,1806.90589,1850.145327,1878.40493,1905.732554,1919.886204,1932.772407,1945.086268,1982.584507,2021.411812,2031.867798,2038.264725,2053.567702,2087.210147,2121.434219,2151.141805,2175.904449,2200.628521,2217.433419,2234.462388,2235.221351,2234.098752,2237.387004,2263.248239,2289.18662,2320.473271,2355.370999,2389.669334,2412.560179,2435.054257,2445.804738,2447.247919,2446.994718,2446.412932,2445.377081,2467.856114,2492.158451,2518.454065,2552.245198,2588.690141,2609.784731,2587.416933,2583.038092,2603.243598,2622.46767,2643.488956,2669.46927,2686.308099,2694.445262,2702.458707,2716.12612,2728.830346,2734.670294,2726.234315,2705.012164,2681.09379,2662.623399,2695.645006,2735.323303,2775.53249,2797.712708,2800.886844,2812.004962,2872.225192,2931.713668,2951.559059,2949.296415,2951.004802,2962.367478,2973.631562,2990.739597,3033.203105,3066.552177,3064.466229,3062.319462,3076.53137,3113.776889,3145.650928,3165.068022,3183.771607,3212.852433,3236.888924,3203.172215,3158.552337,3135.681498,3158.339629,3177.976472,3159.189981,3127.529449,3126.997439,3137.59523,3141.168214,3066.482875,2953.27977,2860.710627,2831.302497,2801.18598,2772.659091,2748.288572,2740.24888,2761.304417,2782.18806,2766.933739,2750.740877,2729.083387,2737.324104,2751.18678,2719.550896,2620.52993,2527.574264,2507.466389
5,79.90029,37.277593,6.45,1.433,0,0,0,0.0,0.0,8.060192616,37.68362761,69.20224719,239.0319422,433.0348315,626.7138042,699.2701445,746.5942215,779.5577849,807.5804173,834.2778491,861.5346709,888.8070626,911.888122,932.3648475,953.4420546,982.8107544,1010.698555,1030.337881,1049.360353,1105.657785,1196.255056,1285.699037,1324.406742,1333.817978,1343.793419,1353.054735,1362.513162,1375.853291,1389.628732,1402.973515,1411.83114,1421.155056,1435.063082,1450.369823,1468.932905,1497.700642,1525.692456,1539.914125,1547.16565,1560.319262,1585.255217,1610.67817,1622.732263,1631.70305,1644.07496,1657.834992,1692.107063,1751.288283,1807.986517,1847.62809,1884.958748,1922.126645,1956.984751,1992.398395,2022.9,2028.094061,2037.208186,2077.360514,2117.244783,2142.924719,2156.732745,2171.566934,2179.791332,2187.758748,2204.182183,2238.239807,2268.905457,2281.990209,2295.033708,2311.185393,2333.447352,2355.17496,2372.857624,2390.982825,2408.995024,2429.22809,2449.130337,2465.009791,2481.104334,2487.701926,2481.491011,2477.511236,2489.5061,2501.717175,2515.578812,2535.749278,2554.7374,2581.761156,2616.710754,2638.293579,2655.109149,2671.47496,2662.84077,2647.905618,2661.213965,2682.266453,2698.673034,2694.245425,2687.254093,2667.586356,2643.42504,2618.251364,2594.095666,2582.00305,2613.886838,2646.083628,2676.742857,2707.922472,2740.096629,2776.545425,2816.096148,2855.782825,2885.116854,2916.430016,2934.383628,2945.771429,2957.02488,2954.881059,2942.220225,2947.527769,2969.164205,2991.689085,3023.526645,3056.407544,3079.873515,3100.582504,3124.910594,3151.869823,3161.751685,3108.76549,3059.349117,3062.135795,3100.245586,3131.876886,3083.872231,3038.391974,3029.428892,3021.153933,3007.79374,2897.798716,2783.2939,2692.252809,2623.588122,2556.278973,2515.382183,2528.175923,2510.764205,2497.547673,2506.760995,2532.747352,2554.536597,2561.379615,2529.51252,2496.851204,2385.767897,2255.975762,2157.303852,2157.865008
6,79.900526,37.277616,3.8,0.867,0,0,0,0.0,0.0,30.85451344,174.762644,322.0993918,499.0390525,686.8701985,871.7349552,960.6824584,1005.105954,1031.373239,1048.426376,1065.302337,1082.706946,1099.826825,1121.435339,1149.375,1179.204385,1204.62644,1228.946863,1258.084027,1289.34363,1344.523207,1445.783771,1546.308739,1599.516965,1587.424936,1574.68598,1593.009603,1611.485275,1628.322023,1643.659571,1657.665493,1689.662612,1723.232554,1741.856274,1750.779449,1759.098111,1770.243598,1782.472791,1799.976472,1825.548976,1849.71879,1867.555378,1886.959347,1890.49968,1878.225672,1899.254001,1943.403969,1996.395967,2057.201985,2116.408131,2152.93902,2175.514565,2197.78185,2225.516485,2254.568022,2284.31402,2310.28057,2336.204706,2364.504321,2394.862036,2423.607394,2448.492958,2474.145647,2501.584507,2532.448944,2562.657971,2552.896927,2543.252081,2555.142766,2573.466549,2591.645006,2602.831146,2614.992478,2639.240877,2671.696383,2704.394686,2720.637324,2734.195262,2738.631082,2734.850032,2735.287932,2763.222791,2790.306178,2797.361076,2800.589309,2805.215589,2846.130602,2899.582746,2945.253841,2938.193022,2936.737836,2944.983195,2953.213828,2955.555378,2950.923335,2956.580506,2976.160371,2997.421895,2995.964629,2986.434059,2982.760883,2997.825384,2987.777529,2957.711908,2935.12612,2945.139245,2966.726472,2987.316901,3009.778809,3035.154289,3062.935659,3092.135563,3121.238476,3154.78009,3193.735915,3228.067382,3239.724872,3252.025448,3263.202465,3310.302177,3353.086108,3341.455506,3329.243918,3329.816901,3364.928617,3388.273367,3379.494238,3370.701024,3433.649168,3491.628041,3451.183739,3370.269526,3306.103873,3298.789853,3289.381402,3298.973431,3325.986236,3343.726793,3352.994078,3354.017286,3297.317382,3182.597151,3076.691901,3025.226633,2974.794654,2921.306818,2899.273528,2905.764565,2925.044654,2945.59379,2930.602113,2910.93902,2886.183739,2868.783611,2852.049136,2808.126921,2683.315941,2568.987356,2524.337868
7,79.90064,37.277475,12.875,3.13,0,0,0,0.0,0.0,19.65040128,81.2929374,145.6942215,316.440931,499.4521669,680.8916533,738.3203852,779.8428571,799.8186196,816.4345104,836.9579454,863.8731942,889.3149278,911.7417335,932.5086677,952.6988764,970.6942215,988.7613162,1015.010112,1042.277207,1103.320546,1188.79695,1274.011717,1299.170626,1298.927769,1302.633868,1317.843178,1332.299197,1345.587801,1357.26549,1367.671268,1371.626806,1377.00626,1395.247191,1415.916854,1435.727929,1454.450883,1474.130658,1486.103692,1496.970465,1509.253933,1527.107063,1544.326966,1554.935474,1564.251525,1575.169984,1587.112199,1626.484109,1689.855217,1750.68122,1790.671108,1831.006581,1862.726324,1873.380096,1884.651685,1899.816693,1930.558266,1958.227608,1987.668218,2017.424077,2034.004173,2042.175441,2049.881541,2063.668058,2078.148796,2097.30321,2124.308668,2148.85313,2164.196629,2178.909631,2190.480899,2197.722632,2206.891814,2233.513323,2259.392937,2280.113002,2294.392777,2309.237721,2314.9313,2320.892456,2325.709631,2332.002568,2335.632905,2338.950562,2340.716212,2348.12183,2363.88122,2380.06244,2394.614286,2413.350401,2435.127287,2457.632263,2479.637721,2478.670626,2473.963884,2473.217657,2472.22825,2475.443981,2484.364045,2488.69053,2476.691814,2457.462279,2421.802087,2385.971589,2376.123756,2408.105457,2439.232905,2471.279936,2505.300963,2539.533547,2575.05634,2607.954254,2640.781862,2670.09679,2700.699839,2712.720225,2715.206581,2718.149278,2725.645265,2735.829856,2753.274318,2772.013804,2792.263884,2813.66244,2833.796629,2848.683628,2862.002087,2886.291814,2920.22504,2930.1939,2892.591332,2856.251043,2866.355217,2891.861637,2910.729856,2890.114607,2868.672552,2853.988764,2839.764366,2806.429053,2696.999358,2586.270465,2522.952488,2473.372713,2425.698234,2384.332584,2376.967576,2348.293258,2312.611075,2320.899358,2357.020385,2389.852809,2384.740128,2323.442215,2259.378652,2136.066613,2011.436597,1939.083628,1939.808668
8,79.899038,37.27841,1.475,0.206,0,0,0,0.0,0.0,0.0,0.0,0.407810499,75.52768886,174.6395647,274.4579065,345.5340909,407.7474392,447.4583867,478.5102433,503.7863316,516.7205506,529.6693342,543.0707426,555.2952945,565.8185019,578.6760563,591.9710307,609.990557,628.1598912,668.2983355,740.1771767,813.1552497,849.5390525,848.3353073,846.650128,847.762484,849.831306,857.371799,869.2893726,881.7778489,891.8447503,903.8492318,908.8634763,909.8738796,910.7852113,925.9353393,940.8972471,955.893886,968.9806338,981.796735,989.6426056,996.8484315,1009.846511,1026.759603,1038.899968,1051.232554,1079.492478,1149.960147,1218.798976,1251.658131,1266.572663,1281.707586,1300.237996,1317.508643,1336.603553,1368.831626,1402.349232,1416.706466,1427.481114,1443.556018,1468.726152,1493.49856,1520.043534,1547.683099,1575.78201,1594.471031,1613.511044,1632.711908,1653.949264,1676.09443,1708.144366,1739.912132,1766.18886,1790.893566,1815.665653,1849.31178,1883.106914,1905.111236,1913.573464,1920.970391,1934.822503,1945.503361,1954.96767,1964.691741,1976.458547,2003.323784,2032.919334,2057.233035,2070.06402,2082.608515,2095.569462,2107.196383,2120.570262,2131.600992,2141.866997,2152.222631,2165.085627,2182.53073,2201.074904,2211.713988,2221.887964,2215.809379,2199.107394,2189.0008,2217.447183,2252.638444,2287.524968,2314.149488,2337.298335,2361.850352,2397.517286,2433.741517,2463.899168,2492.091709,2521.036332,2542.550736,2562.973111,2584.025928,2607.128361,2630.28201,2655.485755,2680.681178,2715.477273,2762.939341,2795.288412,2803.900288,2811.096991,2856.983355,2892.879802,2847.419814,2770.93694,2722.170294,2735.953265,2750.692061,2766.398848,2783.449584,2787.428297,2786.065941,2773.756402,2697.338828,2580.653169,2492.872599,2473.060499,2453.246639,2403.395807,2273.491997,2249.910371,2320.518086,2383.425896,2380.885403,2376.661812,2374.245038,2382.661172,2393.260403,2350.620038,2245.798496,2152.354513,2128.693182
9,79.89942,37.278257,2.0,0.31,0,0,0,0.0,0.0,0.0,0.000162338,0.497727273,60.87321429,146.3871753,232.8978896,309.9586039,383.5084416,426.1035714,452.138474,473.5097403,482.1673701,491.2688312,498.5655844,504.2232143,509.9327922,532.4232143,555.7569805,571.6829545,585.425487,618.8329545,684.6652597,750.2347403,788.5803571,797.0970779,805.3456169,808.5837662,812.2269481,823.8959416,840.0371753,855.5587662,863.8040584,871.8219156,887.7011364,907.6496753,926.975974,933.1704545,940.2086039,948.6582792,958.7920455,968.299026,977.286526,986.2472403,997.9454545,1011.17289,1021.949188,1031.50974,1054.714935,1127.585065,1198.022078,1235.371753,1253.575,1270.599838,1286.46461,1302.399351,1318.375649,1348.749513,1380.628247,1397.248864,1410.885552,1430.360877,1462.641234,1493.671753,1513.527273,1523.588961,1534.162175,1554.490422,1574.995455,1584.347078,1593.21737,1606.067208,1647.066071,1687.773539,1707.775974,1720.517532,1734.100974,1778.301299,1822.925162,1851.740747,1870.539448,1884.255032,1877.633766,1871.303571,1890.682468,1914.02289,1938.852273,1967.803734,1996.939448,2024.367208,2047.062175,2060.990422,2062.761851,2064.733117,2077.080195,2105.019481,2125.002922,2136.481169,2149.753247,2158.440422,2166.398864,2173.559903,2177.746591,2167.126786,2147.843831,2132.866883,2162.681494,2201.645779,2238.856818,2268.695455,2289.308117,2312.687662,2351.99789,2390.985877,2423.173052,2448.579221,2471.637175,2491.373214,2510.499513,2532.265422,2572.231494,2608.208442,2619.583279,2631.573214,2652.755844,2686.481169,2713.730844,2736.06737,2760.096591,2789.706981,2815.245942,2775.404383,2726.142208,2698.450812,2727.41039,2755.308117,2752.971591,2734.926299,2729.000812,2726.56737,2719.895779,2623.203571,2474.125649,2346.374513,2312.864773,2278.658117,2243.235227,2116.939773,2066.830357,2139.115747,2207.588149,2188.884091,2167.375974,2143.188961,2149.664123,2161.463312,2133.465097,2043.792532,1959.517208,1940.368506
10,79.899511,37.278147,2.125,0.35,0,0,0,0.0,0.0,0.044014085,0.732074264,1.90925096,69.59939181,161.1851793,253.6610115,329.0363316,398.4803137,442.2664853,473.5049616,501.040653,513.3300256,525.0054417,539.0240077,556.0222471,572.600032,589.6722151,605.9772727,622.5001601,640.4121319,677.321863,749.0083227,820.4521447,858.0721831,857.9362996,857.3418694,863.8847631,869.0548976,879.4385403,891.8543534,904.4210948,917.0524968,929.4691101,941.915653,952.4809539,963.4942382,973.1803777,982.8372279,996.9982394,1016.982714,1034.588988,1038.431178,1042.508483,1051.15717,1065.433739,1081.512964,1098.371959,1132.321383,1207.331626,1281.832106,1319.31242,1339.888604,1360.786012,1374.947983,1390.370519,1403.474232,1430.318182,1456.977913,1480.786972,1503.388124,1524.776569,1543.706146,1563.24872,1582.716069,1603.698303,1623.079866,1640.525288,1658.71847,1676.357714,1694.197503,1712.34395,1729.472471,1746.84443,1773.652529,1806.957266,1840.977753,1871.735915,1901.751601,1914.053137,1912.538732,1913.959027,1932.320102,1949.90477,1971.507522,1995.24952,2020.477433,2050.098592,2078.308419,2101.855474,2113.042093,2126.300736,2140.326985,2154.512964,2167.71879,2179.970871,2191.856754,2201.080506,2211.878521,2220.693022,2228.34331,2235.486396,2240.641485,2225.658291,2203.959187,2185.066421,2222.8113,2268.589789,2314.288412,2348.955506,2368.102593,2389.482875,2416.961588,2444.99968,2477.629481,2512.041773,2540.154609,2556.970391,2571.65749,2587.831786,2600.074264,2613.753681,2639.298335,2665.65733,2690.005602,2707.766325,2717.140205,2720.240077,2726.614757,2749.352753,2765.637164,2730.976953,2682.754161,2654.74984,2672.392446,2689.839789,2717.201504,2754.31322,2763.979834,2758.815781,2746.892766,2656.976152,2517.975352,2397.886204,2371.392125,2344.826184,2315.774008,2288.080186,2270.710307,2262.974712,2258.457106,2256.060019,2252.585147,2245.331466,2254.550576,2266.822343,2227.123399,2117.174136,2015.008163,1994.474712
